value,key,value_count,key_count
902099,kwid,58450,54373
twcRadarMosaic,product,58277,58276
1086769984,ID_SESSION,58258,58251
nonli,utm_campaign,58235,27535
4000005,c2,58196,29124
1500,LH_ItemCondition,58151,52189
publishsharelink,utm_source,58020,57795
socialShare,spreadType,57955,57795
z,sa,57864,44062
Unisex,Gender,57817,56346
widgethp-CTA-annonce-desktop,utm_content,57804,57804
562,f,57792,40750
portals-hotproduct,aff_platform,57782,57782
file,distributionFormat,57771,49418
search_api_relevance,sort_by,57725,42550
68,h,57633,9924
preroll,bp,57611,57578
vast3,rt,57581,57581
V6SJavaScriptSDK-1.1.7,sdkv,57581,57581
%5B%7B%22id%22%3A%22twitch-player-ui%22%2C%22mt%22%3A%22v%22%2C%22kv%22%3A%7B%7D%2C%22s%22%3A%22640x480%22%7D%5D,slots,57581,57581
offer@alibaba,domain,57523,57523
O,lettre,57507,21473
10000,codelangue1,57501,26242
start,action,57407,36295
zh-HK,language,57353,52281
member_status%3Astudent,tx_solr%5Bfilter%5D%5B1%5D,57344,36647
127,geo_region_label,57275,11506
Akamai,cdn-provider,57262,57256
Tractor%2520Trailer%252FSemi,Vehicle%2520Type,57176,57176
related_works,origin,57157,56564
7d,range,57076,25918
61,page,56979,4518
2020,year,56843,22042
ny2,datacenter,56736,56734
1spec,bl,56650,56650
1%253A8,Scale,56548,42888
sofoot_forum,t,56546,56546
4429486,fromPage,56510,25538
[bbc_website],x3,56416,56416
arte_vp,extra%5Bapplication%5D,56404,56404
Rechercher+sur+judilibre,op,56367,56367
widgetpa,utm_medium,56236,56236
instore,context,56154,56154
254,PageID,56144,41727
sofoot_automoderation,t,56039,56039
hour,end,56037,30625
%22aix-les-bains%22,texte,55996,55996
HOGENOM,db,55957,55957
btob1,osl,55940,55933
76,f,55893,9530
nextentries,mode,55849,55848
Edgecast,cdn-provider,55791,55791
preventries,mode,55781,55780
M3wxMjA3fDB8MHxwcm9maWxlLXBhZ2V8MXx8fGVufDB8fHx8fA%3D%3D,ixid,55760,55760
th-TH,language,55587,52010
168,fcstlength,55483,30070
off,03-zoom-produit-render,55410,11306
book_creator,bookcmd,55359,55326
2021,year,55256,17168
simple%2CKILOMETER_PER_HOUR%2CCELSIUS%2CMILLIMETER,look,55246,55246
[reverb-3.9.2-nojs],x8,55230,55230
ro-RO,language,55171,54699
lt-LT,language,54946,54765
AT,type,54811,50176
relevance+asc,tx_solr%5Bsort%5D,54755,54744
M3wxMjA3fDB8MHxwcm9maWxlLXBhZ2V8Mnx8fGVufDB8fHx8fA%3D%3D,ixid,54726,54726
sk-SK,language,54582,54240
vw_cprofile,lnk,54570,54563
Gray,Color,54552,45423
lg,kw,54498,53682
[en],x4,54498,54498
True,pcexp,54423,11038
live,env,54365,51385
blog,page,54365,35704
best,switches,54289,54042
95,lID,54276,9437
jsonp,dataType,54262,30455
ant,dep,54236,54164
af,tc,54219,29512
M3wxMjA3fDB8MHxwcm9maWxlLXBhZ2V8M3x8fGVufDB8fHx8fA%3D%3D,ixid,54076,54076
vi-VN,language,53935,53113
show-download-screen,action,53887,53840
Yellow,Color,53786,48319
1%253A87,Scale,53769,53769
en-AU,language,53616,39039
EUR,currency,53611,22484
1%253A10,Scale,53601,45962
14627,cid,53593,52505
JByTA8sHZAKZ3npzEad7ojdzuqz1iRF2,client_id,53524,53524
M3wxMjA3fDB8MHxwcm9maWxlLXBhZ2V8NHx8fGVufDB8fHx8fA%3D%3D,ixid,53475,53475
all%2CKILOMETER_PER_HOUR%2CCELSIUS%2CMILLIMETER,look,53472,53472
viewprofile,mode,53410,53407
contains,filter_relational_operator_6,53329,7120
Aorte+--+R%C3%A9tr%C3%A9cissement,filter_value_4,53310,14685
GR-TW,utm_source,53246,26624
cms,client_id,53193,46047
agenda,page,53182,26101
fa-IR,language,53099,53081
Doctorat+%2F+Doctoral,filter_1,53092,7523
Q,lettre,53089,20951
